   Counter   Asymmetry      DeltaX      DeltaY
       551   365.01535   -17.74169     2.64887
       552  1116.66028   -79.45154   -27.04037
       553   500.91373   -65.93063   -23.54959
       554 -1399.61816   -65.18143   -49.34593
       555 -1202.50623   -22.54952   -26.56748
       556   609.99158   -45.70241     2.44991
       557   855.68512    76.14948    46.45850
       558  1224.98779   -17.87949    25.79717
       559  -280.88626    68.92914    41.74809
       560   918.31616    13.40689    30.70534
       561  -884.92578    19.75438   -36.42273
       562  -980.66071    -0.70483    -7.72793
       563   433.80585    47.11637    56.65949
       564   230.55267   -51.94075    22.18534
       565  1616.51343   -13.35139    64.35846
       566  -139.82594  -102.62296    26.72226
       567   825.17560   -50.49625    33.68089
       568  1438.80249   115.39499   113.45386
       569   999.30273    10.36831     9.93897
       570  1406.59644    10.86074    39.18647
       571  -777.02460   -25.97117   -60.75376
       572 -1364.45032   -18.92098   -74.71583
       573  -696.25427    -2.58233   -45.47299
       574   571.08972    27.03817   -16.50395
       575   930.11188   -31.63450    18.94099
       576  -656.44049    15.30143   -25.58251
       577   780.58478  -108.07086    -5.56941
       578  -688.44806   -75.51784   -58.64232
       579   658.71826   -73.82165    26.78383
       580 -1086.97876    33.34773   -50.02280
       581  1226.82153   -40.68234   -41.16860
       582  1059.91016    -8.02304    48.77563
       583  1395.79700   -22.48737     6.09350
       584  -336.33218   -69.85275   -11.39395
       585   945.44641    34.60046    59.80342
       586  -658.49811    66.12039   -33.94423
       587   914.06915    48.28411    20.31171
       588  1775.91418   -16.50450    42.68752
       589   521.41705    84.12569     5.44474
       590   924.40698   -24.32418     9.41297
       591  -786.05261   -87.72100   -45.34735
       592  -888.05432   -14.70378     1.43854
       593   242.26358     5.01883    19.47693
       594   -22.50232    49.52042    13.42686
       595  -310.99164   -77.92958    42.25551
       596   148.89664    79.97145    32.04559
       597   345.96445   118.64616    59.32062
       598    -5.26690   -34.19979     0.50354
       599 -2108.08032    26.00143   -67.32152
       600  -480.87540  -113.27019   -20.70668
       601   412.44666    13.10407     5.14561
       602     4.82533   -22.47169   -24.25665
       603   649.39728   -34.86272    32.10716
       604  2111.44189   -12.27595    16.01815
       605  -295.33734    -1.40828    18.35889
       606  -890.75763    -9.02872   -24.67812
       607   563.28632    66.85210    34.36207
       608   -47.11763    35.06982    28.52060
       609   123.13560    10.97132    28.98928
       610  -961.24811    11.31289   -14.53523
       611  -229.61302    45.04212    -8.89165
       612   392.66931    -1.64601   -20.43524
       613   -65.40926    55.13799    16.46926
       614  -664.01825     8.08091    18.19298
       615  -543.12201   -92.95209   -18.82240
       616  -157.30635    75.82030    51.12729
       617  -418.05481   -26.85440   -22.72620
       618   386.37512   -49.41895    -9.64093
       619  1023.43921   -35.18839    39.00762
       620  1262.49304    -8.98190    48.23802
       621 -1498.42712    97.54785   -17.82367
       622  -593.27606   168.56348     1.04439
       623   851.67181   -21.94116    39.88726
       624    16.81080   -49.71716   -15.11025
       625   507.12772   -16.35676    10.40122
       626  -903.31104   -12.24924     8.70973
       627  2072.99976   -61.34370    63.76487
       628  -104.57812    82.21577    19.97326
       629   -32.20228  -106.04603   -48.04795
       630   180.30861   -95.56992   -31.66455
       631 -1150.38525    77.94922    21.85142
       632  1705.63977   -40.01115    42.86312
       633  -369.05206    81.13296   -50.51823
       634  -313.18375   -17.92065   -34.27591
       635 -1469.47144     7.48747   -74.39356
       636  -453.87677   -47.67970     3.84705
       637 -1512.36743   -27.24994   -68.90093
       638  -589.85590    29.13931   -19.65234
       639   586.08148   144.16678    28.60439
       640  -531.27844    47.12536   -37.78321
       641  -630.11072   -14.72719    -5.47560
       642   359.28342  -119.43334    15.70267
       643 -1751.05334   -36.52363   -17.93573
       644  -935.26111   113.47839   -20.26221
       645  1107.12427  -111.61506    20.67259
       646 -1262.62134    34.79794     0.15564
       647   422.02551   -11.58709     2.83136
       648   531.26715    -8.26703   -23.78333
       649 -1476.71106    71.90342   -18.98730
       650  1173.52979    56.57402    59.14208
       651   655.98499    -9.11405    36.66647
       652   752.33307    25.45560    37.74134
       653   713.13416     8.01519    62.95089
       654  1364.61218    -4.34676    10.97317
       655  -435.45789   -10.02095    15.03590
       656  -178.73666   -72.47861   -72.95576
       657   918.11462    37.90657    68.83225
       658   148.73650    -9.80370    -2.47230
       659   340.94299    28.22414   -28.29079
       660   708.08215   -10.56946   -38.33073
       661  1152.01416   -42.76854    -6.17400
       662  -990.32245   -10.40938   -68.49988
       663  -563.65283   -26.23563   -32.63256
       664  -471.74069   -38.92377   -32.68610
       665 -1299.60291     0.72131   -77.32019
       666    57.70778   -75.44180   -20.32808
       667   120.67183    40.67942    26.67370
       668  -206.92068    23.42079    44.66074
       669  1407.85486    10.08819    -5.20002
       670   613.62323    85.56650     2.10546
       671  -721.76074    87.96547    11.58240
       672 -1177.23877   -95.97789   -30.23739
       673  -491.57071  -115.27739   -12.39722
       674  1292.96484    95.41994    60.32025
       675   973.18500   -12.42662    36.78456
       676   961.40259    -3.37062    68.19264
       677  1003.13666    -7.99982    40.71460
       678  1709.67969   -54.94893    20.14670
       679   723.23383    59.00578     3.83777
       680 -1034.99939   -69.33578    -4.38006
       681  -958.60175    78.23154    44.62816
       682  -971.03510   -46.15653    17.50561
       683  -248.53426   -44.96349     6.02767
       684   672.00623     5.53361    30.90886
       685 -1043.63062    40.17876    -3.41211
       686 -1071.35986   -23.99076   -38.86047
       687  2123.76855     3.02683    44.85989
       688   799.93909    11.12995    -4.09500
       689  1037.45178   -69.53064   -13.23061
       690  -871.87701    21.48831   -18.68143
       691 -1770.56836   -69.67938  -106.15689
       692 -1050.24817    49.23321   -24.14515
       693  -495.09216    25.21907   -13.79862
       694 -1390.56909   -31.33059   -51.88198
       695  -338.93857     3.16856   -18.26506
       696  -140.48140   -17.61404    -9.36115
       697 -1086.58752    21.22622     5.95643
       698  -688.22559     5.55636   -41.77129
       699   353.29480     2.41822     5.90548
       700    39.55124   -34.73730    15.33900
       701  -945.10889    -3.89130   -25.06972
       702   449.93201   -27.94588    -0.50646
       703 -1002.35919   -77.36056   -48.44461
       704   996.25238   -17.76783    -7.38813
       705  -571.88831   -48.72125   -20.59373
       706  2099.04102    72.11701    43.67292
