#Frequency	Mic 1	Mic 2
384.000	2.272	0.892
385.000	2.163	0.855
386.000	2.078	0.822
387.000	1.964	0.788
388.000	1.873	0.745
389.000	1.782	0.722
390.000	1.681	0.684
391.000	1.597	0.662
392.000	1.508	0.634
393.000	1.442	0.613
394.000	1.368	0.592
395.000	1.307	0.573
396.000	1.249	0.561
397.000	1.185	0.540
398.000	1.115	0.531
399.000	1.068	0.512
400.000	1.027	0.502
401.000	0.958	0.486
402.000	0.919	0.481
403.000	0.872	0.470
404.000	0.829	0.461
405.000	0.797	0.457
406.000	0.742	0.448
407.000	0.717	0.443
408.000	0.690	0.434
409.000	0.635	0.429
410.000	0.614	0.432
411.000	0.578	0.422
412.000	0.552	0.424
413.000	0.519	0.414
414.000	0.479	0.417
415.000	0.458	0.414
416.000	0.445	0.411
417.000	0.424	0.412
418.000	0.398	0.409
419.000	0.370	0.412
420.000	0.359	0.410
421.000	0.338	0.414
422.000	0.335	0.415
423.000	0.330	0.414
424.000	0.333	0.419
425.000	0.329	0.428
426.000	0.340	0.427
427.000	0.355	0.431
428.000	0.366	0.433
429.000	0.397	0.438
430.000	0.422	0.444
431.000	0.442	0.445
432.000	0.476	0.452
433.000	0.512	0.461
434.000	0.544	0.473
435.000	0.579	0.481
436.000	0.624	0.491
437.000	0.651	0.505
438.000	0.698	0.517
439.000	0.747	0.536
440.000	0.800	0.541
441.000	0.862	0.564
442.000	0.916	0.582
443.000	0.965	0.597
444.000	1.049	0.620
445.000	1.121	0.641
446.000	1.182	0.669
447.000	1.270	0.696
448.000	1.340	0.721
449.000	1.454	0.763
450.000	1.532	0.791
451.000	1.623	0.826
452.000	1.730	0.857
453.000	1.839	0.891
454.000	1.939	0.925
455.000	2.052	0.967
456.000	2.149	0.997
457.000	2.230	1.027
458.000	2.308	1.046
459.000	2.372	1.068
460.000	2.408	1.075
461.000	2.424	1.078
462.000	2.440	1.075
463.000	2.408	1.065
464.000	2.363	1.046
465.000	2.311	1.021
466.000	2.240	0.991
467.000	2.172	0.951
468.000	2.069	0.914
469.000	2.002	0.882
470.000	1.902	0.849
471.000	1.811	0.812
472.000	1.728	0.783
473.000	1.660	0.754
474.000	1.573	0.722
475.000	1.500	0.699
476.000	1.421	0.671
477.000	1.365	0.656
478.000	1.306	0.628
479.000	1.231	0.609
480.000	1.204	0.593
481.000	1.129	0.580
482.000	1.082	0.562
483.000	1.024	0.552
484.000	0.979	0.535
485.000	0.946	0.529
486.000	0.904	0.528
487.000	0.851	0.503
488.000	0.821	0.491
489.000	0.784	0.488
490.000	0.748	0.475
491.000	0.718	0.466
492.000	0.682	0.464
493.000	0.631	0.453
494.000	0.617	0.448
495.000	0.577	0.451
496.000	0.548	0.445
497.000	0.514	0.440
498.000	0.496	0.444
499.000	0.475	0.446
500.000	0.450	0.447
501.000	0.434	0.444
502.000	0.420	0.450
503.000	0.409	0.445
504.000	0.400	0.451
505.000	0.402	0.454
506.000	0.384	0.454
507.000	0.389	0.451
508.000	0.388	0.457
509.000	0.396	0.466
510.000	0.406	0.469
511.000	0.411	0.471
512.000	0.420	0.482
513.000	0.439	0.489
514.000	0.467	0.498
515.000	0.491	0.507
516.000	0.513	0.517
517.000	0.553	0.531
518.000	0.572	0.541
519.000	0.612	0.551
520.000	0.670	0.570
521.000	0.706	0.579
522.000	0.746	0.595
523.000	0.814	0.611
524.000	0.840	0.621
525.000	0.904	0.643
526.000	0.966	0.665
527.000	1.029	0.685
528.000	1.095	0.711
529.000	1.167	0.728
530.000	1.226	0.754
531.000	1.312	0.786
532.000	1.403	0.818
533.000	1.507	0.859
534.000	1.570	0.873
535.000	1.655	0.902
536.000	1.738	0.936
537.000	1.811	0.963
538.000	1.899	0.991
539.000	1.974	1.007
540.000	2.058	1.034
541.000	2.089	1.043
542.000	2.135	1.053
543.000	2.134	1.050
544.000	2.143	1.043
545.000	2.132	1.024
546.000	2.101	1.011
547.000	2.050	0.981
548.000	2.007	0.962
549.000	1.954	0.938
550.000	1.883	0.902
551.000	1.801	0.866
552.000	1.740	0.830
553.000	1.668	0.808
554.000	1.611	0.785
555.000	1.521	0.742
556.000	1.480	0.755
557.000	1.409	0.699
558.000	1.337	0.673
559.000	1.278	0.649
560.000	1.225	0.633
561.000	1.172	0.612
562.000	1.132	0.596
563.000	1.071	0.579
564.000	1.029	0.571
565.000	1.001	0.555
566.000	0.957	0.543
567.000	0.909	0.529
568.000	0.901	0.524
569.000	0.851	0.512
570.000	0.825	0.499
571.000	0.799	0.500
572.000	0.784	0.488
573.000	0.761	0.483
574.000	0.738	0.474
575.000	0.745	0.486
576.000	0.751	0.463
577.000	0.681	0.468
578.000	0.680	0.460
579.000	0.662	0.456
580.000	0.651	0.461
581.000	0.636	0.448
582.000	0.622	0.451
583.000	0.611	0.454
584.000	0.621	0.451
585.000	0.612	0.446
586.000	0.592	0.444
587.000	0.600	0.464
588.000	0.565	0.444
589.000	0.564	0.450
590.000	0.558	0.447
591.000	0.571	0.479
592.000	0.577	0.456
593.000	0.615	0.460
594.000	0.652	0.470
595.000	0.694	0.481
596.000	0.746	0.498
597.000	0.767	0.511
598.000	0.786	0.525
599.000	0.785	0.545
600.000	0.827	0.545
601.000	0.868	0.560
602.000	0.921	0.578
603.000	0.949	0.587
604.000	0.995	0.608
605.000	1.054	0.630
606.000	1.083	0.641
607.000	1.148	0.672
608.000	1.187	0.696
609.000	1.251	0.723
610.000	1.304	0.746
611.000	1.348	0.774
612.000	1.423	0.813
613.000	1.495	0.841
614.000	1.553	0.893
615.000	1.638	0.916
616.000	1.710	0.950
617.000	1.765	0.968
618.000	1.842	1.000
619.000	1.893	1.013
620.000	1.952	1.030
621.000	1.984	1.038
622.000	2.046	1.052
623.000	2.024	1.040
624.000	2.030	1.036
625.000	2.012	1.019
626.000	1.994	1.002
627.000	1.952	0.979
628.000	1.923	0.957
629.000	1.856	0.934
630.000	1.807	0.903
631.000	1.743	0.878
632.000	1.678	0.849
633.000	1.618	0.829
634.000	1.563	0.799
635.000	1.503	0.772
636.000	1.458	0.755
637.000	1.383	0.726
638.000	1.333	0.710
639.000	1.274	0.686
640.000	1.236	0.665
641.000	1.178	0.652
642.000	1.126	0.632
643.000	1.091	0.619
644.000	1.042	0.612
645.000	0.994	0.600
646.000	0.962	0.585
647.000	0.914	0.574
648.000	0.882	0.567
649.000	0.856	0.557
650.000	0.809	0.551
651.000	0.768	0.540
652.000	0.749	0.537
653.000	0.699	0.540
654.000	0.682	0.527
655.000	0.647	0.521
656.000	0.613	0.518
657.000	0.597	0.519
658.000	0.572	0.515
659.000	0.539	0.516
660.000	0.529	0.513
661.000	0.507	0.512
662.000	0.490	0.512
663.000	0.479	0.513
664.000	0.465	0.516
665.000	0.463	0.522
666.000	0.455	0.530
667.000	0.462	0.524
668.000	0.461	0.529
669.000	0.465	0.539
670.000	0.490	0.543
671.000	0.500	0.548
672.000	0.515	0.552
673.000	0.542	0.562
674.000	0.567	0.571
675.000	0.601	0.586
676.000	0.627	0.596
677.000	0.675	0.604
678.000	0.704	0.614
679.000	0.755	0.629
680.000	0.820	0.645
681.000	0.856	0.663
682.000	0.911	0.678
683.000	0.965	0.700
684.000	1.021	0.716
685.000	1.093	0.742
686.000	1.158	0.759
687.000	1.232	0.782
688.000	1.304	0.814
689.000	1.379	0.838
690.000	1.438	0.859
691.000	1.529	0.884
692.000	1.583	0.906
693.000	1.659	0.932
694.000	1.727	0.946
695.000	1.784	0.962
696.000	1.841	0.975
697.000	1.872	0.981
698.000	1.909	0.988
699.000	1.929	0.985
700.000	1.927	0.977
701.000	1.928	0.968
702.000	1.894	0.950
703.000	1.863	0.934
704.000	1.812	0.910
705.000	1.784	0.886
706.000	1.740	0.871
707.000	1.683	0.841
708.000	1.634	0.817
709.000	1.577	0.796
710.000	1.506	0.767
711.000	1.457	0.744
712.000	1.400	0.731
713.000	1.344	0.699
